order_id,order_item_id,customer_id,product_id,campaign_id,channel_id,platform_id,date,customer_name,email,customer_type,country,product_name,category,item_price,quantity,channel_name,platform_name,impressions,spend,clicks,orders,revenue
ORDR34584,ORDR0073796-01,CUST58952,PROD97771,CMP09027,CHNL_01,PLT2,2025-10-09,Derrick Wright,Derrick@example.com,high_volume_buyer,Martinique,Custom Name Necklace,Jewelry,40.56,216,Social,Facebook Ads,14,98.9,78,16,8760.96
ORDR23774,ORDR0073796-02,CUST95078,PROD50265,CMP68315,CHNL_03,PLT4,2025-05-30,Megan Finley,Megan@example.com,medium_volume_buyer,Nepal,FreePrints Glossy Photo Print,Photo Prints,52.92,80,Email,Mailchimp,21,20.1,71,23,4233.6
ORDR95032,ORDR0073796-03,CUST62900,PROD50265,CMP02804,CHNL_03,PLT4,2025-03-30,Brittany Lewis,Brittany@example.com,low_volume_buyer,Myanmar,Personalized Cutting Board,Kitchenware,110.28,74,Email,Mailchimp,12,12.3,46,41,8160.72
ORDR95106,ORDR0073796-04,CUST57227,PROD08964,CMP10227,CHNL_02,PLT1,2024-05-29,Clarence Hernandez,Clarence@example.com,medium_volume_buyer,Panama,FreePrints Softcover Photobook,Photobooks,91.41,91,Paid_Search,Google Ads,16,66.08,70,12,8318.31
ORDR04810,ORDR0073796-05,CUST62785,PROD67270,CMP35824,CHNL_02,PLT1,2024-06-30,Destiny Beltran,Destiny@example.com,top_buyer_vip,Venezuela,Custom Printed T-Shirt,Apparel,48.55,237,Paid_Search,Google Ads,7,108.21,118,42,11506.35
ORDR15053,ORDR0073796-06,CUST50007,PROD50265,CMP02832,CHNL_03,PLT4,2024-10-20,Brian Reynolds,Brian@example.com,low_volume_buyer,Ecuador,Personalized Cutting Board,Kitchenware,110.28,74,Email,Mailchimp,26,19.79,75,49,8160.72
ORDR76518,ORDR0073796-07,CUST12987,PROD62516,CMP76617,CHNL_02,PLT1,2025-01-20,Sarah Parsons,Sarah@example.com,top_buyer_vip,Kenya,FreePrints Square Photo Print,Photo Prints,113.85,262,Paid_Search,Google Ads,27,115.06,39,38,29828.7
ORDR29379,ORDR0073796-08,CUST49804,PROD22954,CMP57713,CHNL_02,PLT1,2024-06-19,Gary Ross,Gary@example.com,ultra_vip_elite,Chad,Custom Photo Pillow,Home Decor,129.05,293,Paid_Search,Google Ads,18,112.54,100,34,37811.65
ORDR68390,ORDR0073796-09,CUST08007,PROD28820,CMP96363,CHNL_03,PLT4,2024-03-19,Dr. Brian Hicks II,Dr.@example.com,high_volume_buyer,Taiwan,Custom Tote Bag,Accessories,89.21,171,Email,Mailchimp,14,14.81,105,45,15254.91
ORDR88918,ORDR0073796-010,CUST80340,PROD74003,CMP25045,CHNL_03,PLT4,2025-03-22,Jason Tran,Jason@example.com,low_volume_buyer,Andorra,Personalized Children’s Storybook,Books,45.24,56,Email,Mailchimp,28,7.9,75,15,2533.44
ORDR80164,ORDR0073796-011,CUST92136,PROD28037,CMP16388,CHNL_03,PLT4,2024-01-09,Morgan Cox,Morgan@example.com,low_volume_buyer,Cayman Islands,Thank You Card with Photo,Greeting Cards,47.37,29,Email,Mailchimp,15,12.78,94,46,1373.73
ORDR11620,ORDR0073796-012,CUST96326,PROD12253,CMP10127,CHNL_01,PLT2,2025-08-14,Madison Jackson,Madison@example.com,medium_volume_buyer,Morocco,Personalized Business Card,Business Cards,35.43,137,Social,Facebook Ads,22,40.68,59,50,4853.91
ORDR09537,ORDR0073796-013,CUST75998,PROD05310,CMP30861,CHNL_01,PLT2,2024-03-15,Jennifer Young,Jennifer@example.com,medium_volume_buyer,Pakistan,FreePrints Glossy Photo Print,Photo Prints,52.92,80,Social,Facebook Ads,19,64.21,116,22,4233.6
ORDR09749,ORDR0073796-014,CUST52125,PROD28820,CMP09022,CHNL_03,PLT4,2024-02-23,Elizabeth Kim,Elizabeth@example.com,top_buyer_vip,Bermuda,Custom Coffee Mug,Drinkware,119.91,224,Email,Mailchimp,14,25.34,97,41,26859.84
ORDR32969,ORDR0073796-015,CUST15797,PROD54965,CMP72995,CHNL_03,PLT4,2025-04-23,Joshua Wright,Joshua@example.com,top_buyer_vip,Guam,Personalized Holiday Greeting Card,Greeting Cards,90.0,271,Email,Mailchimp,21,15.83,91,46,24390.0
ORDR93934,ORDR0073796-016,CUST28590,PROD12253,CMP59395,CHNL_02,PLT1,2024-08-29,Maria Perry,Maria@example.com,low_volume_buyer,Wallis and Futuna,Personalized Phone Case,Accessories,27.67,62,Paid_Search,Google Ads,22,119.54,104,42,1715.54
ORDR90327,ORDR0073796-017,CUST95719,PROD97771,CMP92701,CHNL_03,PLT4,2024-08-26,Joseph Becker,Joseph@example.com,low_volume_buyer,Saint Vincent and the Grenadines,Personalized Birthday Storybook,Books,126.75,62,Email,Mailchimp,8,25.4,33,28,7858.5
ORDR71267,ORDR0073796-018,CUST35679,PROD68292,CMP70371,CHNL_02,PLT1,2024-01-26,Randy Charles,Randy@example.com,low_volume_buyer,Congo,Thank You Card with Photo,Greeting Cards,47.37,29,Paid_Search,Google Ads,14,95.33,79,34,1373.73
ORDR92852,ORDR0073796-019,CUST46306,PROD12253,CMP07254,CHNL_02,PLT1,2025-02-13,Dr. Megan Wright,Dr.@example.com,top_buyer_vip,Belgium,FreePrints Square Photo Print,Photo Prints,113.85,262,Paid_Search,Google Ads,19,81.12,62,15,29828.7
ORDR80985,ORDR0073796-020,CUST81818,PROD96371,CMP29254,CHNL_03,PLT4,2024-10-28,Albert Holmes MD,Albert@example.com,high_volume_buyer,Isle of Man,Custom Tote Bag,Accessories,89.21,171,Email,Mailchimp,10,23.72,59,43,15254.91
ORDR75943,ORDR0073796-021,CUST74470,PROD96371,CMP48079,CHNL_03,PLT4,2025-06-27,Rebecca Dixon,Rebecca@example.com,top_buyer_vip,Netherlands,Personalized Photo Mug,Drinkware,109.64,256,Email,Mailchimp,13,14.75,39,46,28067.84
ORDR50321,ORDR0073796-022,CUST76542,PROD77492,CMP02448,CHNL_01,PLT2,2024-10-19,Maria Welch,Maria@example.com,top_buyer_vip,Moldova,Personalized Holiday Greeting Card,Greeting Cards,90.0,271,Social,Facebook Ads,10,92.81,39,43,24390.0
ORDR66117,ORDR0073796-023,CUST68305,PROD34046,CMP54836,CHNL_03,PLT4,2025-01-27,Cory Lester,Cory@example.com,low_volume_buyer,Maldives,Personalized Birthday Storybook,Books,126.75,62,Email,Mailchimp,29,10.2,62,33,7858.5
ORDR17436,ORDR0073796-024,CUST31407,PROD50265,CMP11808,CHNL_03,PLT4,2024-04-15,Aaron Rios,Aaron@example.com,low_volume_buyer,Denmark,Personalized Birthday Storybook,Books,126.75,62,Email,Mailchimp,29,14.14,47,22,7858.5
ORDR89301,ORDR0073796-025,CUST83077,PROD16491,CMP17110,CHNL_03,PLT4,2023-12-26,Kimberly Powell,Kimberly@example.com,medium_volume_buyer,Tonga,Custom Wedding Invitation Card,Greeting Cards,108.3,144,Email,Mailchimp,13,25.86,88,12,15595.2
